,index,name,date,price
175,4,长岛花苑,201711,51171
176,4,长岛花苑,201712,51699
177,4,长岛花苑,201801,50279
178,4,长岛花苑,201802,49278
179,4,长岛花苑,201803,48846
180,5,陆家嘴国际华城,201504,50134
181,5,陆家嘴国际华城,201505,50951
182,5,陆家嘴国际华城,201506,52864
183,5,陆家嘴国际华城,201507,55125
184,5,陆家嘴国际华城,201508,58821
185,5,陆家嘴国际华城,201509,62534
186,5,陆家嘴国际华城,201510,63072
187,5,陆家嘴国际华城,201511,64734
188,5,陆家嘴国际华城,201512,66436
189,5,陆家嘴国际华城,201601,69319
190,5,陆家嘴国际华城,201602,73769
191,5,陆家嘴国际华城,201603,82829
192,5,陆家嘴国际华城,201604,84540
193,5,陆家嘴国际华城,201605,83171
194,5,陆家嘴国际华城,201606,79882
195,5,陆家嘴国际华城,201607,81992
196,5,陆家嘴国际华城,201608,82856
197,5,陆家嘴国际华城,201609,84422
198,5,陆家嘴国际华城,201610,86535
199,5,陆家嘴国际华城,201611,86001
200,5,陆家嘴国际华城,201612,87178
201,5,陆家嘴国际华城,201701,87277
202,5,陆家嘴国际华城,201702,87711
203,5,陆家嘴国际华城,201703,87081
204,5,陆家嘴国际华城,201704,87032
205,5,陆家嘴国际华城,201705,94111
206,5,陆家嘴国际华城,201706,93153
207,5,陆家嘴国际华城,201707,94081
208,5,陆家嘴国际华城,201708,91265
209,5,陆家嘴国际华城,201709,87939
210,5,陆家嘴国际华城,201710,88654
211,5,陆家嘴国际华城,201711,88853
212,5,陆家嘴国际华城,201712,88089
213,5,陆家嘴国际华城,201801,87603
214,5,陆家嘴国际华城,201802,87779
215,5,陆家嘴国际华城,201803,88487
216,6,上海绿城,201504,50061
217,6,上海绿城,201505,51341
218,6,上海绿城,201506,52563
219,6,上海绿城,201507,54876
220,6,上海绿城,201508,56683
221,6,上海绿城,201509,57571
222,6,上海绿城,201510,58731
223,6,上海绿城,201511,60848
224,6,上海绿城,201512,62479
225,6,上海绿城,201601,67709
226,6,上海绿城,201602,71369
227,6,上海绿城,201603,79569
