4002,165441
4003,57393
4004,40962
4005,41478
4007,50325
4008,49627
4011,48400
4012,36610
4013,41701
4015,37466
4016,57495
4049,30202
4050,59477
4052,46719
4055,48512
4056,28277
4061,28389
4063,52760
4065,32730
4066,46041
4067,45949
4068,45666
4069,50315
4071,54541
4072,46949
4073,46119
4074,39113
4077,40000
4079,73335
4080,52138
4081,37500
4082,51608
4084,41020
4088,52179
4089,56877
4153,56266
4154,61388
4156,41654
4158,56141
4160,55917
4163,49785
4165,52287
4168,26666
4169,39859
4175,54875
4176,37142
4182,45610
4184,43829
4187,35394
4192,49275
4193,49206
4198,44473
4199,52707
4200,37380
4202,53061
4204,66114
4207,58378
4208,41588
4209,60750
4210,41506
4211,51960
4212,45516
4214,48880
4217,40517
4220,53452
4222,50000
4224,50541
4228,33690
4230,32467
4232,28729
4233,69175
4236,59318
4239,33399
4241,60144
4242,36144
4244,52248
4245,53059
4246,57103
4247,54805
4248,50555
4250,37857
4252,48272
4256,55238
4257,39145
4258,48545
4261,51959
4262,42289
4264,54333
4272,39009
4273,59961
4274,42373
4275,29666
4278,33581
4279,22346
4280,49515
4283,52687
4284,30612
4285,40000
4286,23808
4358,43002
4360,46735
4362,32000
4364,33650
4365,64176
4367,35714
4372,27213
4374,41666
4375,30769
4376,22500
4379,40000
4380,39759
4381,58038
4386,68888
4388,52272
4390,35555
4393,28431
4394,36567
4395,63644
4396,52160
4398,23711
4507,40763
4508,27964
4509,40774
4510,28750
4512,38833
4513,47398
4515,48562
4516,45193
4517,50948
4518,55182
4537,50873
4539,47650
4541,43178
4543,38506
4545,41071
4548,44567
4549,48574
4553,53691
4554,49671
4555,41201
4556,63648
4557,36458
4558,53158
4583,29513
4585,34088
4586,53680
4587,44129
4589,56851
4591,40909
4592,46998
4600,37759
4601,47087
4602,48654
4603,47272
4604,47710
4605,43958
4606,46537
4608,46856
4609,51695
4611,55193
4613,55621
4614,35945
4615,47391
4616,39008
4617,59489
4619,54692
4620,56110
4623,43908
4624,59134
4625,64641
4626,37775
4695,26424
4700,58177
4706,78912
4708,35228
4709,58055
4710,56860
4711,30103
4717,44444
4718,52275
4723,67751
4729,45319
4730,43549
4732,43321
4733,51204
4734,37671
4735,53829
4736,46554
4737,42875
4739,39838
4740,49003
4741,29785
4742,43749
4743,45492
4744,40439
4745,52650
4748,46145
4749,66268
4751,53070
4752,32857
4753,51438
4755,50672
4757,53633
4758,46947
4759,45588
4761,46340
4762,44700
4764,51036
4765,51054
4766,42578
4768,58118
4769,64095
4770,33005
4772,43463
4773,39090
4774,60503
4775,62022
4776,56798
4777,54693
4778,25000
4875,16666
4884,38415
4885,33173
4888,65133
4893,39099
4900,38948
4905,40178
4906,62105
4908,35235
4909,30176
4910,31282
4911,61108
4914,37851
4921,30645
4923,29545
4924,26362
4926,76315
4927,56955
4928,42661
4931,47514
4932,39834
4934,47273
4935,48746
4938,57892
4939,41205
4941,37177
4943,41230
4944,31818
4945,52132
4947,42626
4948,31711
4950,37635
4952,47911
4953,50000
4956,52282
4957,48117
4959,42647
4960,56991
4961,46417
4962,46407
4964,44297
4965,47155
4967,46098
4969,42083
4970,55651
4971,53143
4972,48441
4975,42624
4976,47477
4978,44069
4979,45213
4980,52774
4981,41250
4983,63253
4984,56864
4985,50767
4986,32200
4987,43201
4988,57951
4989,48000
4990,57521
4991,57543
4993,41134
4994,37297
4996,52321
4997,46391
5000,37068
5001,55737
5006,58375
5007,42177
5009,54265
5010,42787
5011,53776
5012,68415
5016,54216
5019,45755
5020,39424
5023,40082
5024,53977
5025,46970
5026,54064
5028,56871
5029,55486
5071,53740
5072,26912
5083,29596
5094,35027
5095,22952
5096,44180
5097,46004
5098,45369
5099,52796
5100,43579
5110,45469
5111,38457
5115,51311
5116,42586
5117,35049
5118,43333
5119,44670
5144,37487
5146,33642
5152,31185
5155,40029
5157,47085
5158,31222
5160,45028
5161,43732
5162,41905
5165,44385
5166,46082
5167,37850
5168,42885
5169,66596
5170,41485
5206,38683
5207,42391
5212,28522
5214,41336
5215,50824
5217,50054
5220,28811
