,address,link,long,lat,property_type,property_costs,total_area,number_of_units,year_built,parking_spots,volume_rate,green_rating,developer_company,property_management_company
5651,强生花苑,https://shanghai.anjuke.com/community/view/1437,31.182194,121.450789,公寓,1.60元/平米/月,55000m²,574户,2000年,600,3.3,40%(高),上海徐强房地产开发经营公司,上海明华物业管理有限公司 
5652,华东花苑,https://shanghai.anjuke.com/community/view/1026061,31.154685,121.44071,公寓,1.00元/平米/月,暂无数据,暂无数据,1998年,暂无数据,暂无数据,暂无数据,上海华东房地产设计院有限公司,上海华东房地产物业有限公司
5653,松风花园,https://shanghai.anjuke.com/community/view/1025837,31.139417,121.439687,公寓,1.16元/平米/月,暂无数据,暂无数据,2003年,暂无数据,4,35%(一般),上海松风房地产公司,上海凯杰物业管理有限公司
5654,王家堂小区,https://shanghai.anjuke.com/community/view/1025832,31.195738,121.45086,公寓,1.20元/平米/月,暂无数据,暂无数据,1996年,暂无数据,2,暂无数据,城市建设开发有限公司,上海高建物业管理有限公司
5655,宛南六村,https://shanghai.anjuke.com/community/view/1025818,31.18603,121.453113,公寓,0.80元/平米/月,暂无数据,暂无数据,1981年,暂无数据,1.8,35%(一般),上海徐汇房产经营有限公司,上海枫林物业有限公司
5656,阳光名苑,https://shanghai.anjuke.com/community/view/1025758,31.199998,121.456933,公寓,2.80元/平米/月,暂无数据,暂无数据,2007年,暂无数据,2.45,36%(一般),上海豪森房地产有限公司,上海阳光新景(集团)物业管理有限公司
5657,徐汇新湖云庭,https://shanghai.anjuke.com/community/view/1025754,31.198554,121.467279,公寓,2.00元/平米/月,暂无数据,暂无数据,2005年,暂无数据,暂无数据,暂无数据,上海源江置业发展有限公司,上海新湖物业管理有限责任公司
5658,永新花苑,https://shanghai.anjuke.com/community/view/1025738,31.200181,121.449512,公寓,3.20元/平米/月,暂无数据,暂无数据,2002年,暂无数据,5.6,33%(一般),上海永龙房地产有限公司,上海新昌物业服务有限公司
5659,振兴小区,https://shanghai.anjuke.com/community/view/1025725,31.19822000000001,121.458187,公寓,0.80元/平米/月,暂无数据,暂无数据,2000年,暂无数据,1.9,暂无数据,振大发展有限公司,上海高建物业有限公司
5660,云锦东方,https://shanghai.anjuke.com/community/view/1000081,31.17037100000001,121.460526,公寓,7.80元/平米/月,暂无数据,暂无数据,2017年,暂无数据,2.55,33%(一般),上海东航置业有限公司,上海东方航空物业有限公司
5661,陇南小区,https://shanghai.anjuke.com/community/view/990413,31.13519,121.428877,公寓,0.80元/平米/月,暂无数据,暂无数据,1994年,暂无数据,2.1,暂无数据,上海汇泰房地产发展有限公司,上海万顷物业发展有限公司
5662,柿子湾小区,https://shanghai.anjuke.com/community/view/990371,31.195832,121.436418,公寓,0.80元/平米/月,暂无数据,暂无数据,1991年,暂无数据,1.2,暂无数据,上海瀛通(集团)有限公司,上海高建物业有限公司
5663,中漕小区,https://shanghai.anjuke.com/community/view/990336,31.189872,121.440305,公寓,0.50元/平米/月,暂无数据,暂无数据,2000年,暂无数据,暂无数据,暂无数据,上海东鼎投资经营发展有限公司,上海徐房物业有限公司
5664,永太小区,https://shanghai.anjuke.com/community/view/990326,31.216173,121.463385,公寓,0.60元/平米/月,暂无数据,暂无数据,1991年,暂无数据,0.8,暂无数据,上海徐房集团有限公司,上海永平置业有限公司
5665,华龙新苑小区,https://shanghai.anjuke.com/community/view/990210,31.179583,121.463344,公寓,0.55元/平米/月,暂无数据,暂无数据,1994年,暂无数据,2,43%(高),上海华龙建设股份有限公司,富汇物业
5666,西木小区,https://shanghai.anjuke.com/community/view/990088,31.201387,121.464467,公寓,暂无数据,暂无数据,暂无数据,1986年,暂无数据,暂无数据,暂无数据,暂无数据,上海枫林物业有限公司
5667,长乐路1121弄小区,https://shanghai.anjuke.com/community/view/908095,31.221488,121.450126,公寓,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,无,无
5668,天然居,https://shanghai.anjuke.com/community/view/907992,31.149874,121.451267,公寓,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
5669,汇金广场(B座),https://shanghai.anjuke.com/community/view/877657,31.201201,121.446118,公寓,6.50元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,上海汇金房地产有限公司,上海汇金物业管理有限公司
5670,阳光名邸,https://shanghai.anjuke.com/community/view/877005,31.200682,121.429214,公寓,1.50元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,上海徐房物业管理有限公司
5671,乾骏大厦,https://shanghai.anjuke.com/community/view/876704,31.171058,121.444537,公寓,1.65元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,上海乾骏房产有限公司,上海暨绿物业管理有限公司
5672,中南大厦,https://shanghai.anjuke.com/community/view/866270,31.190974,121.435715,公寓,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
5673,新亚徐汇公寓,https://shanghai.anjuke.com/community/view/866198,31.195708000000003,121.452599,公寓,1.50元/平米/月,暂无数据,暂无数据,2003年,暂无数据,4.2,40%(高),上海新亚集团房产经营公司,上海新亚集团房地产经营公司物业管理分公司
5674,申峰大厦,https://shanghai.anjuke.com/community/view/866107,31.193547,121.448257,公寓,2.00元/平米/月,暂无数据,暂无数据,2005年,暂无数据,2,20%(一般),上海申宇东澜置业有限公司,中房物业管理有限公司
5675,欧江大厦,https://shanghai.anjuke.com/community/view/866071,31.205358,121.45262,公寓,5.00元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,30%(一般),暂无数据,上海中星集团申城物业有限公司
5676,康平大楼,https://shanghai.anjuke.com/community/view/866026,31.21048900000001,121.4501,公寓,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,无
5677,湖南公寓,https://shanghai.anjuke.com/community/view/865966,31.214919,121.445487,公寓,4.50元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,永福物业
5678,零陵路190弄小区,https://shanghai.anjuke.com/community/view/862262,31.19921,121.468897,公寓,1.20元/平米/月,暂无数据,暂无数据,1981年,暂无数据,暂无数据,暂无数据,上海徐房集团有限公司,上海高建物业有限公司
5679,紫阳花苑,https://shanghai.anjuke.com/community/view/821002,31.120294,121.460783,公寓,0.40元/平米/月,暂无数据,暂无数据,2002年,暂无数据,暂无数据,40%(高),徐汇区城市建设投资开发有限公司,上海佳安物业管理有限责任公司
5680,馨汇南苑,https://shanghai.anjuke.com/community/view/820232,31.171435,121.450464,公寓,1.50元/平米/月,暂无数据,暂无数据,2010年,暂无数据,1.85,34%(一般),上海莲申房地产有限公司,中海物业管理（上海）有限公司
5681,梅花园,https://shanghai.anjuke.com/community/view/819746,31.156344,121.419733,公寓,1.56元/平米/月,暂无数据,暂无数据,1997年,暂无数据,暂无数据,25%(一般),嘉泰房地产开发有限公司,宝能物业管理有限公司
