,address,long,lat,property_type,property_cost(Rmb/m^2/month),total_area(m2),number_of_units,year_built,parking_spots,volume_rate,green_rating(%),ratio
4757,昌鑫时代绿园,31.333395,121.468198,0,0.75,14000,1200,2003,800,16,36,-0.13118155389752595
4758,昌鑫家园,31.335105,121.45563500000002,0,0.4,50000,408,1999,80,2,39,-0.11312545082246224
4759,上大阳光乾泽园,31.316231,121.40918500000001,0,0.73,45000,1200,2006,250,175,40,-0.21716993921986757
4761,宝启公寓,31.376573999999998,121.439279,0,0.5,70000,960,2000,100,13,28,-0.29594708891132104
4762,宝山八村,31.401371,121.50128400000001,0,0.9,79000,780,1998,320,13,25,-0.22313361883228044
4764,新月福邸,31.411143,121.44019899999999,0,0.6,15000,1500,2003,210,18,30,-0.4629828068745317
4765,长宏新苑,31.34818,121.500078,0,0.6,90000,1044,2002,150,15,40,-0.15485009126804972
4766,上大阳光乾静园,31.318640999999996,121.41281399999998,0,0.8,68000,604,2006,350,152,35,-0.1626820661961732
4768,瑞丰园,31.323534999999996,121.38348300000001,0,1.2,70000,531,2005,280,169,35,-0.18406562791078454
4769,馨康苑,31.327672999999997,121.448127,0,0.6,73000,850,2005,202,18,35,-0.03407238819800357
4770,新梅淞南苑,31.345238000000002,121.496742,0,1.5,80000,944,2001,100,14,40,0.03787534796784464
4772,宝林春天苑,31.375086,121.49603,0,0.6,60000,125,2006,90,25,35,-0.1857514306895317
4773,鑫鑫花园,31.350632,121.43378500000001,0,0.6,100000,900,2004,100,2,40,-0.29838603013535786
4774,新月丽苑,31.412583,121.438337,0,0.5,64000,312,2004,60,134,40,-0.36096303759176046
4775,馨华苑,31.280088,121.42478799999999,0,0.5,116840,584,2001,450,13,41,-0.009219531932948848
4776,滨江雅苑(一期),31.283043,121.419197,0,0.9,93000,2400,2005,450,18,40,0.028368888165679215
4777,南华苑,31.277301,121.430181,0,1.2,25000,1356,2003,260,12,40,-0.0545751186973892
4778,艺康苑,31.32718,121.450061,0,0.55,30000,370,2001,800,16,30,-0.07808864360359147
4875,中铁北城时代(公寓),31.396337,121.44486299999998,0,2.7,170000,276,2015,301,2,30,-0.38750604215538537
4884,大华一村,31.287021999999997,121.429328,0,0.95,12000,2600,1996,430,18,35,-0.11616811350113936
5097,大华一村,31.27918,121.43046000000001,0,0.95,180,144,1996,165,2,47,-0.11616811350113936
5286,大华一村,31.279355,121.427549,0,0.6,1204,312,1990,168,2,40,-0.11616811350113936
4885,上坤乐城,31.367546,121.41333,0,2.8,41086,532,2015,205,2,35,-0.39540242726434355
4888,同济城市阳光,31.313067999999998,121.39664599999999,0,2.6,80978,622,2014,454,2,45,-0.1265318064661815
4893,鹏程花苑,31.343123,121.494927,0,1.4,77000,612,2004,140,167,36,-0.14980991984106615
4900,梧桐城邦(四期公寓),31.299474,121.41671299999999,0,1.3,53204,626,2013,150,108,40,0.11409128430034114
4905,米兰公馆,31.357260999999998,121.39131200000001,0,2.8,16000,187,2015,67,25,35,-0.4820088814135726
4906,上坤公园天地,31.345986,121.36016000000001,0,1.99,33895,301,2012,163,15,30,-0.3164344365261571
4908,象屿郦庭(南区),31.334119,121.48524099999999,0,1.8,78000,650,2013,390,16,38,0.03971944455169733
4909,中冶尚园,31.431161,121.42115700000001,0,1.8,108700,970,2012,715,114,45,-0.4112800453091939
4910,宝华盛世花园,31.453638,121.4107,0,1.9,117000,886,2012,653,123,40,-0.49533936433715947
4911,宝华北岸郡庭(公寓),31.456642,121.403218,0,2.9,124432,230,2012,89,137,50,-0.4798605162195832
4914,绿地国际SOHO城,31.319290000000002,121.357478,0,1.5,350000,2000,2012,600,245,40,-0.6899961264819153
4921,颐河公寓,31.351211,121.40604599999999,0,0.4,7493,59,2008,40,2,43,-0.48955520551072534
4923,祥泰苑,31.330154999999998,121.41473500000001,0,0.55,65000,5210,2008,300,12,35,-0.2480464367445205
4924,罗溪路60弄小区,31.415366,121.35580300000001,0,0.8,36450,750,1995,650,15,27,-0.5069505034449047
4926,祁南一村,31.421896000000004,121.35484,0,0.5,12000,560,1988,113,18,30,-0.47079358833922047
4927,宝莲府邸(公寓),31.400351,121.492703,0,5.0,32178,57,2005,57,37,50,0.22940287496053446
4928,馨良苑,31.33164600000001,121.481954,0,1.1,103949,1152,2008,145,22,47,-0.054563065352768315
4931,同济路60弄小区,31.375195,121.498846,0,0.5,37000,650,1993,138,2,43,-0.2931993986404278
4932,长江路780弄小区,31.352268,121.49315,0,0.65,37520,600,1956,370,17,20,-0.2666097290440516
4934,逸仙二村(西区),31.317832,121.49921699999999,0,0.3,1020,630,1990,280,18,32,-0.20740496282079854
4935,泗溏三村,31.34013400000001,121.460575,0,0.9,98500,2000,1995,185,2,25,-0.2143405408056975
