,room,area,price,orient,level,dec,line,linedistance,district,school,time,elevator,unknown1,unknown2,unknown3,unknown4,web
30,"
3室2厅3卫        ",180平米,100000元/平米,南,中层,豪华装修,2,1194,长宁,0,2016年,无 ,个人产权,普通住宅,塔板结合,"
                                2018-04-13
                        ",http://esf.sh.fang.com/chushou/3_319938730.htm
31,"
4室2厅2卫        ",156平米,75641元/平米,南北,低层,精装修,9,525,浦东,0,2000年,无 ,个人产权,酒店式公寓,塔板结合,"
                                2018-04-10
                        ",http://esf.sh.fang.com/chushou/3_319732096.htm
32,"
2室2厅1卫        ",91平米,93407元/平米,东南,中层,精装修,9,525,浦东,0,2001年,无 ,个人产权,普通住宅,塔板结合,"
                                2018-04-13
                        ",http://esf.sh.fang.com/chushou/3_319938833.htm
33,"
2室2厅1卫        ",110平米,95455元/平米,南,低层,豪华装修,9,639,浦东,0,2003年,无 ,个人产权,普通住宅,塔板结合,"
                                2018-04-13
                        ",http://esf.sh.fang.com/chushou/3_319938749.htm
34,"
3室2厅3卫        ",206平米,106796元/平米,南,中层,豪华装修,2,1194,长宁,0,2017年,无 ,个人产权,普通住宅,塔板结合,"
                                2018-04-03
                        ",http://esf.sh.fang.com/chushou/3_319295589.htm
35,"
3室2厅2卫        ",150平米,90000元/平米,南北,中层,精装修,9,799,浦东,0,2004年,无 ,个人产权,普通住宅,塔板结合,"
                                2018-04-13
                        ",http://esf.sh.fang.com/chushou/3_319938750.htm
36,"
4室2厅2卫        ",129平米,91860元/平米,南北,低层,精装修,11,805,普陀,0,2017年,无 ,个人产权,普通住宅,塔板结合,"
                                2018-04-12
                        ",http://esf.sh.fang.com/chushou/3_319836455.htm
37,"
2室2厅1卫        ",70平米,71429元/平米,南北,高层,豪华装修,9,777,浦东,0,1999年,无 ,个人产权,普通住宅,塔板结合,"
                                2018-04-04
                        ",http://esf.sh.fang.com/chushou/3_319352804.htm
38,"
3室2厅3卫        ",288平米,127083元/平米,南北,中层,豪华装修,7,790,徐汇,1,2017年,无 ,个人产权,普通住宅,塔板结合,"
                                2018-03-27
                        ",http://esf.sh.fang.com/chushou/3_318847368.htm
39,"
3室2厅3卫        ",202平米,90099元/平米,南北,高层,豪华装修,4,626,浦东,0,2013年,无 ,个人产权,普通住宅,塔板结合,"
                                2018-04-07
                        ",http://esf.sh.fang.com/chushou/3_319529827.htm
