,name,link,long,la,Property type,Property costs,Total area,Number of units,Year built,Parking spots,Volume rate,Green rating,Developer Company,Property management company,201504,201505,201506,201507,201508,201509,201510,201511,201512,201601,201602,201603,201604,201605,201606,201607,201608,201609,201610,201611,201612,201701,201702,201703,201704,201705,201706,201707,201708,201709,201710,201711,201712,201801,201802,201803
125,绿地康桥新苑,https://shanghai.anjuke.com/community/view/7712,31.144438,121.57287,公寓,1,300000,3200,2005,1650,1,40,上海康宸房地产开发有限公司,上海绿地物业服务有限公司、银顺物业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,金鹏苑,https://shanghai.anjuke.com/community/view/2696,31.261986,121.596892,公寓,0,84000,852,1997,300,1,30,上海金鹏房地产开发有限公司,上海凌浦物业有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,中房樱桃苑,https://shanghai.anjuke.com/community/view/2106,31.154227,121.531687,公寓,2,106564,800,2007,955,1,56,上海中房置业股份有限公司,上海申能物业管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,胡姬花园,https://shanghai.anjuke.com/community/view/389,31.213733,121.593234,公寓,1,40000,860,2007,66,2,49,上海胡姬花园房地产开发有限公司,上海东湖物业管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,东方城市公寓,https://shanghai.anjuke.com/community/view/175,31.252142,121.55248600000002,公寓,2,70000,507,2005,300,2,45,上海东扬房地产有限公司,上海联讯物业管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,龙阳花苑,https://shanghai.anjuke.com/community/view/114,31.205112,121.524088,公寓,1,53000,418,2004,160,1,40,上海精文置业（集团）有限公司,上海东方明珠物业管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,仁恒河滨城(一期),https://shanghai.anjuke.com/community/view/106,31.234035,121.573268,公寓,3,720000,4300,2004,2800,2,43,仁恒置地集团有限公司,仁恒物业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,翰城国际,https://shanghai.anjuke.com/community/view/93,31.160685,121.51641200000002,公寓,1,116000,1380,2004,330,1,40,上海恒大房产股份有限公司,上海怡和高力物业公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,华府188,https://shanghai.anjuke.com/community/view/656633,31.187778,121.705499,公寓,4,37537,188,2016,212,2,35,上海宸盛置业有限公司,上海绿城物业有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,鹤沙航城东茗苑(中区),https://shanghai.anjuke.com/community/view/570172,31.08057800000001,121.608824,公寓,1,86530,5500,2000,121,1,35,农工商房地产,上海农工商旺都物业管,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,大唐盛世花园(二期),https://shanghai.anjuke.com/community/view/565241,31.215327,121.565505,公寓,2,400000,700,2004,320,1,44,上海盛唐置业有限公司,盛唐物业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
